iu_ac,libelle,t_1h,q,k,etat_trafic,iu_nd_amont,libelle_nd_amont,iu_nd_aval,libelle_nd_aval,etat_barre,date_debut,date_fin,geo_point_2d.lon,geo_point_2d.lat,geo_shape.type,geo_shape.geometry.coordinates,geo_shape.geometry.type
579,Bd_St_Michel,2023-02-01T20:00:00+00:00,480.0,4.50556,Fluide,345,Bd_St_Michel-Sorbonne,36,Bd_St_Michel-Ecoles,Invalide,2005-01-01,2019-06-01,2.3426122432633556,48.85035066347571,Feature,"[[2.3425962910970073, 48.85032535335741], [2.342628195429704, 48.850375973594005]]",LineString
579,Bd_St_Michel,2023-02-01T19:00:00+00:00,384.0,25.66445,Pré-saturé,345,Bd_St_Michel-Sorbonne,36,Bd_St_Michel-Ecoles,Invalide,2005-01-01,2019-06-01,2.3426122432633556,48.85035066347571,Feature,"[[2.3425962910970073, 48.85032535335741], [2.342628195429704, 48.850375973594005]]",LineString
579,Bd_St_Michel,2023-02-01T18:00:00+00:00,552.0,7.56167,Fluide,345,Bd_St_Michel-Sorbonne,36,Bd_St_Michel-Ecoles,Invalide,2005-01-01,2019-06-01,2.3426122432633556,48.85035066347571,Feature,"[[2.3425962910970073, 48.85032535335741], [2.342628195429704, 48.850375973594005]]",LineString
580,Bd_St_Michel,2023-02-01T22:00:00+00:00,589.0,0.87056,Fluide,346,Pl_Edmond_Rostand,345,Bd_St_Michel-Sorbonne,Invalide,2005-01-01,2019-06-01,2.3413414212323183,48.84812193493801,Feature,"[[2.3409326915577005, 48.84738055103254], [2.3417501509069356, 48.84886331884347]]",LineString
580,Bd_St_Michel,2023-02-01T21:00:00+00:00,580.0,2.075,Fluide,346,Pl_Edmond_Rostand,345,Bd_St_Michel-Sorbonne,Invalide,2005-01-01,2019-06-01,2.3413414212323183,48.84812193493801,Feature,"[[2.3409326915577005, 48.84738055103254], [2.3417501509069356, 48.84886331884347]]",LineString
580,Bd_St_Michel,2023-02-01T19:00:00+00:00,384.0,2.11055,Fluide,346,Pl_Edmond_Rostand,345,Bd_St_Michel-Sorbonne,Invalide,2005-01-01,2019-06-01,2.3413414212323183,48.84812193493801,Feature,"[[2.3409326915577005, 48.84738055103254], [2.3417501509069356, 48.84886331884347]]",LineString
580,Bd_St_Michel,2023-02-01T17:00:00+00:00,534.0,19.54,Pré-saturé,346,Pl_Edmond_Rostand,345,Bd_St_Michel-Sorbonne,Invalide,2005-01-01,2019-06-01,2.3413414212323183,48.84812193493801,Feature,"[[2.3409326915577005, 48.84738055103254], [2.3417501509069356, 48.84886331884347]]",LineString
581,Bd_St_Michel,2023-02-01T23:00:00+00:00,336.0,,Inconnu,347,Bd_St_Michel-Gay_Lussac,346,Pl_Edmond_Rostand,Invalide,2005-01-01,2019-06-01,2.3408485324876716,48.84723991313936,Feature,"[[2.3407643734176427, 48.84709927524619], [2.3409326915577005, 48.84738055103254]]",LineString
581,Bd_St_Michel,2023-02-01T20:00:00+00:00,540.0,,Inconnu,347,Bd_St_Michel-Gay_Lussac,346,Pl_Edmond_Rostand,Invalide,2005-01-01,2019-06-01,2.3408485324876716,48.84723991313936,Feature,"[[2.3407643734176427, 48.84709927524619], [2.3409326915577005, 48.84738055103254]]",LineString
581,Bd_St_Michel,2023-02-01T19:00:00+00:00,653.0,,Inconnu,347,Bd_St_Michel-Gay_Lussac,346,Pl_Edmond_Rostand,Invalide,2005-01-01,2019-06-01,2.3408485324876716,48.84723991313936,Feature,"[[2.3407643734176427, 48.84709927524619], [2.3409326915577005, 48.84738055103254]]",LineString
581,Bd_St_Michel,2023-02-01T17:00:00+00:00,694.0,,Inconnu,347,Bd_St_Michel-Gay_Lussac,346,Pl_Edmond_Rostand,Invalide,2005-01-01,2019-06-01,2.3408485324876716,48.84723991313936,Feature,"[[2.3407643734176427, 48.84709927524619], [2.3409326915577005, 48.84738055103254]]",LineString
582,Bd_St_Michel,2023-02-01T20:00:00+00:00,,,Inconnu,346,Pl_Edmond_Rostand,347,Bd_St_Michel-Gay_Lussac,Invalide,2005-01-01,2019-06-01,2.340458490140641,48.847363273202305,Feature,"[[2.340681968757251, 48.847582056133], [2.3404708976289377, 48.847565064037546], [2.3403586252888426, 48.847491839768736], [2.340382363654659, 48.84731741392171], [2.3405140817578887, 48.84699002658634]]",LineString
582,Bd_St_Michel,2023-02-01T19:00:00+00:00,,,Inconnu,346,Pl_Edmond_Rostand,347,Bd_St_Michel-Gay_Lussac,Invalide,2005-01-01,2019-06-01,2.340458490140641,48.847363273202305,Feature,"[[2.340681968757251, 48.847582056133], [2.3404708976289377, 48.847565064037546], [2.3403586252888426, 48.847491839768736], [2.340382363654659, 48.84731741392171], [2.3405140817578887, 48.84699002658634]]",LineString
582,Bd_St_Michel,2023-02-01T17:00:00+00:00,,,Inconnu,346,Pl_Edmond_Rostand,347,Bd_St_Michel-Gay_Lussac,Invalide,2005-01-01,2019-06-01,2.340458490140641,48.847363273202305,Feature,"[[2.340681968757251, 48.847582056133], [2.3404708976289377, 48.847565064037546], [2.3403586252888426, 48.847491839768736], [2.340382363654659, 48.84731741392171], [2.3405140817578887, 48.84699002658634]]",LineString
583,Bd_St_Michel,2023-02-01T23:00:00+00:00,336.0,,Inconnu,348,Bd_St_Michel-Royer_Collard,347,Bd_St_Michel-Gay_Lussac,Invalide,2005-01-01,2019-06-01,2.3404574620039877,48.846580451420614,Feature,"[[2.3402781849651877, 48.84625183510468], [2.340636739042788, 48.846909067736526]]",LineString
583,Bd_St_Michel,2023-02-01T21:00:00+00:00,314.0,,Inconnu,348,Bd_St_Michel-Royer_Collard,347,Bd_St_Michel-Gay_Lussac,Invalide,2005-01-01,2019-06-01,2.3404574620039877,48.846580451420614,Feature,"[[2.3402781849651877, 48.84625183510468], [2.340636739042788, 48.846909067736526]]",LineString
583,Bd_St_Michel,2023-02-01T19:00:00+00:00,653.0,,Inconnu,348,Bd_St_Michel-Royer_Collard,347,Bd_St_Michel-Gay_Lussac,Invalide,2005-01-01,2019-06-01,2.3404574620039877,48.846580451420614,Feature,"[[2.3402781849651877, 48.84625183510468], [2.340636739042788, 48.846909067736526]]",LineString
