Identifiant arc,Libelle,Date et heure de comptage,Debit horaire,Taux d'occupation,Etat trafic,Identifiant noeud amont,Libelle noeud amont,Identifiant noeud aval,Libelle noeud aval,Etat arc,Date debut dispo data,Date fin dispo data,geo_point_2d,Unnamed: 14
6521,Belleville,2023-06-16T15:00:00+02:00,573.0,12.09555,Fluide,3381,Belleville-Compans,3379,Belleville-Fetes-Metra,Invalide,37687.0,44927.0,48.8754222811352,2.39369135856687
6570,Av_Pdt_Wilson,2023-07-07T03:00:00+02:00,354.0,2.84167,Fluide,3403,Av_Pdt_Wilson-Av_Albert_de_Mun,3404,Av_Pdt_Wilson-Trocadero,Invalide,38993.0,44927.0,48.863586477888,2.28921548474145
6555,Quai_Henri_IV,2023-06-16T14:00:00+02:00,1695.0,11.10556,Fluide,3397,Quai_Henri_IV-Agrippa_d'Aubigne,263,Quai_Henri_IV-Schomberg,Invalide,38705.0,44927.0,48.8492843547415,2.36193183585675
6556,Av_Jean_Jaures,2023-06-16T15:00:00+02:00,548.0,30.79667,Satur�,3398,Jaures_face_188,2580,Jaures-Hainant,Invalide,38741.0,44927.0,48.888019615156,2.38994883703183
6556,Av_Jean_Jaures,2023-06-16T14:00:00+02:00,557.0,33.46,Satur�,3398,Jaures_face_188,2580,Jaures-Hainant,Invalide,38741.0,44927.0,48.888019615156,2.38994883703183
6560,Av_Jean_Jaures,2023-06-16T14:00:00+02:00,400.0,6.65556,Fluide,3400,Jaures-face_107,2596,Jaures-Laumiere,Invalide,38749.0,44927.0,48.8854357389612,2.37999325083806
6793,Quai_d'Orsay,2023-07-18T16:00:00+02:00,631.0,1.29722,Fluide,3522,Quai_d'Orsay-face_57-59,2349,Pl_de_Finlande,Invalide,41472.0,44927.0,48.862523438603,2.30899274499105
6570,Av_Pdt_Wilson,2023-06-16T15:00:00+02:00,787.0,6.13111,Fluide,3403,Av_Pdt_Wilson-Av_Albert_de_Mun,3404,Av_Pdt_Wilson-Trocadero,Invalide,38993.0,44927.0,48.863586477888,2.28921548474145
6793,Quai_d'Orsay,2023-07-18T15:00:00+02:00,570.0,1.03389,Fluide,3522,Quai_d'Orsay-face_57-59,2349,Pl_de_Finlande,Invalide,41472.0,44927.0,48.862523438603,2.30899274499105
6570,Av_Pdt_Wilson,2023-06-16T14:00:00+02:00,790.0,6.39111,Fluide,3403,Av_Pdt_Wilson-Av_Albert_de_Mun,3404,Av_Pdt_Wilson-Trocadero,Invalide,38993.0,44927.0,48.863586477888,2.28921548474145
6711,Bd_Soult,2023-12-05T12:00:00+01:00,238.0,0.72722,Fluide,510,Bd_Soult-Rottembourg,3476,Bd_Soult-Nlle_Caledonie,Invalide,40674.0,44927.0,48.8385109476852,2.4083628479887
6711,Bd_Soult,2023-12-05T11:00:00+01:00,301.0,0.78944,Fluide,510,Bd_Soult-Rottembourg,3476,Bd_Soult-Nlle_Caledonie,Invalide,40674.0,44927.0,48.8385109476852,2.4083628479887
6711,Bd_Soult,2023-12-05T09:00:00+01:00,548.0,1.53889,Fluide,510,Bd_Soult-Rottembourg,3476,Bd_Soult-Nlle_Caledonie,Invalide,40674.0,44927.0,48.8385109476852,2.4083628479887
6603,Julia_Bartet,2023-12-06T15:00:00+01:00,351.0,10.99056,Fluide,636,Julia_Bartet-PI,647,Place_de_la_Porte_de_Vanves,Invalide,39155.0,44927.0,48.8268044172518,2.30403553711766
6711,Bd_Soult,2023-12-05T08:00:00+01:00,312.0,0.79944,Fluide,510,Bd_Soult-Rottembourg,3476,Bd_Soult-Nlle_Caledonie,Invalide,40674.0,44927.0,48.8385109476852,2.4083628479887
6711,Bd_Soult,2023-12-05T07:00:00+01:00,77.0,0.14444,Fluide,510,Bd_Soult-Rottembourg,3476,Bd_Soult-Nlle_Caledonie,Invalide,40674.0,44927.0,48.8385109476852,2.4083628479887
6711,Bd_Soult,2023-12-05T06:00:00+01:00,143.0,0.34778,Fluide,510,Bd_Soult-Rottembourg,3476,Bd_Soult-Nlle_Caledonie,Invalide,40674.0,44927.0,48.8385109476852,2.4083628479887
6711,Bd_Soult,2023-12-05T05:00:00+01:00,464.0,1.13778,Fluide,510,Bd_Soult-Rottembourg,3476,Bd_Soult-Nlle_Caledonie,Invalide,40674.0,44927.0,48.8385109476852,2.4083628479887
6711,Bd_Soult,2023-12-05T04:00:00+01:00,356.0,0.92334,Fluide,510,Bd_Soult-Rottembourg,3476,Bd_Soult-Nlle_Caledonie,Invalide,40674.0,44927.0,48.8385109476852,2.4083628479887
6711,Bd_Soult,2023-12-05T03:00:00+01:00,356.0,0.98389,Fluide,510,Bd_Soult-Rottembourg,3476,Bd_Soult-Nlle_Caledonie,Invalide,40674.0,44927.0,48.8385109476852,2.4083628479887
6609,Av_Marceau,2023-12-06T16:00:00+01:00,1215.0,3.47889,Fluide,2325,Bassano-Av_Marceau,3424,Quentin-Av_Marceau,Invalide,39177.0,44927.0,48.86912732178,2.29855653552085
6711,Bd_Soult,2023-12-05T02:00:00+01:00,413.0,1.105,Fluide,510,Bd_Soult-Rottembourg,3476,Bd_Soult-Nlle_Caledonie,Invalide,40674.0,44927.0,48.8385109476852,2.4083628479887
6609,Av_Marceau,2023-12-06T15:00:00+01:00,1153.0,7.08111,Fluide,2325,Bassano-Av_Marceau,3424,Quentin-Av_Marceau,Invalide,39177.0,44927.0,48.86912732178,2.29855653552085
6711,Bd_Soult,2023-12-05T01:00:00+01:00,539.0,1.32944,Fluide,510,Bd_Soult-Rottembourg,3476,Bd_Soult-Nlle_Caledonie,Invalide,40674.0,44927.0,48.8385109476852,2.4083628479887
6614,Av_Simon_Bolivar,2023-12-06T15:00:00+01:00,178.0,8.76723,Fluide,3427,Mathurin_Moreau-Simon_Bolivar,2638,Bolivar-Pailleron,Invalide,39279.0,44927.0,48.8790490637444,2.37438355703975
6625,Av_Simon_Bolivar,2023-12-06T16:00:00+01:00,169.0,10.66611,Fluide,3433,Lauzin-Simon_Bolivar,3432,Atlas-Simon_Bolivar,Invalide,39279.0,44927.0,48.8764844953133,2.3774892204367
6636,Pyrenees,2023-12-06T15:00:00+01:00,404.0,6.135,Fluide,3437,Pyrenees-Ermitage,3436,Pyrenees-Levert,Invalide,39288.0,44927.0,48.8725254515958,2.39116435671209
6560,Av_Jean_Jaures,2023-06-08T22:00:00+02:00,294.0,3.94111,Fluide,3400,Jaures-face_107,2596,Jaures-Laumiere,Invalide,38749.0,44927.0,48.8854357389612,2.37999325083806
6560,Av_Jean_Jaures,2023-06-08T21:00:00+02:00,373.0,4.63389,Fluide,3400,Jaures-face_107,2596,Jaures-Laumiere,Invalide,38749.0,44927.0,48.8854357389612,2.37999325083806
6560,Av_Jean_Jaures,2023-06-08T19:00:00+02:00,437.0,5.58611,Fluide,3400,Jaures-face_107,2596,Jaures-Laumiere,Invalide,38749.0,44927.0,48.8854357389612,2.37999325083806
6560,Av_Jean_Jaures,2023-06-08T18:00:00+02:00,371.0,5.10112,Fluide,3400,Jaures-face_107,2596,Jaures-Laumiere,Invalide,38749.0,44927.0,48.8854357389612,2.37999325083806
6717,Bd_Mortier,2023-12-05T12:00:00+01:00,78.0,2.28778,Fluide,734,Bd_Mortier-Tourelles,3479,Bd_Mortier-Caserne,Invalide,40674.0,44927.0,48.8747344689754,2.40774733726525
6717,Bd_Mortier,2023-12-05T11:00:00+01:00,92.0,2.32,Fluide,734,Bd_Mortier-Tourelles,3479,Bd_Mortier-Caserne,Invalide,40674.0,44927.0,48.8747344689754,2.40774733726525
6717,Bd_Mortier,2023-12-05T10:00:00+01:00,110.0,3.31111,Fluide,734,Bd_Mortier-Tourelles,3479,Bd_Mortier-Caserne,Invalide,40674.0,44927.0,48.8747344689754,2.40774733726525
6717,Bd_Mortier,2023-12-05T09:00:00+01:00,116.0,3.39167,Fluide,734,Bd_Mortier-Tourelles,3479,Bd_Mortier-Caserne,Invalide,40674.0,44927.0,48.8747344689754,2.40774733726525
